Author,Title,Journal,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link
"Benenson, Itzhak; Martens, Karel; Birfir, Slava",PARKAGENT: An agent-based model of parking in the city,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"In this paper, we present PARKAGENT, an agent-based, spatially explicit model for parking in the city. Unlike traditional parking models, PARKAGENT simulates the behavior of each driver in a spatially explicit environment and is able to capture the complex self-organizing dynamics of a large collective of parking agents within a non-homogeneous (road) space. The model generates distributions of key values like search time, walking distance, and parking costs over different driver groups. It is developed as an ArcGIS application, and can work with a practically unlimited number of drivers. The advantages of the model are illustrated using a real-life case from Tel Aviv. Taking detailed data from field surveys, the model is used to study the impact of additional parking supply in a residential area with a shortage of parking places. The PARKAGENT model shows that additional parking supply linearly affects the occurrence of extreme values, but has only a weak impact on the average search time for a parking place or the average walking distance between the parking place and the destination. (C) 2008 Elsevier Ltd. All rights reserved.",NOV,2008,32,6,10.1016/j.compenvurbsys.2008.09.011,http://dx.doi.org/10.1016/j.compenvurbsys.2008.09.011
"Flache, Andreas; Macy, Michael W.",Small Worlds and Cultural Polarization,JOURNAL OF MATHEMATICAL SOCIOLOGY,"Building on Granovetter's theory of the strength of weak ties,'' research on small-world'' networks suggests that bridges between clusters in a social network (long-range ties) promote cultural diffusion, homogeneity, and integration. We show that this macro-level implication of network structure depends on hidden micro-level assumptions. Using a computational model similar to earlier studies, we find that ties between clusters facilitate cultural convergence under the micro-level assumptions of assimilation and attraction to similar others. However, these assumptions also have negative counterparts-differentiation and xenophobia. We found that when these negative possibilities are no longer assumed away, the effect of long-range ties reverses: Even very small amounts of contact between highly clustered communities sharply increased polarization at the population level.",,2011,35,1月3日,10.1080/0022250X.2010.532261,http://dx.doi.org/10.1080/0022250X.2010.532261
"Taillandier, Patrick; Gaudou, Benoit; Grignard, Arnaud; Quang-Nghi Huynh; Marilleau, Nicolas; Caillou, Philippe; Philippon, Damien; Drogoul, Alexis","Building, composing and experimenting complex spatial models with the GAMA platform",GEOINFORMATICA,"The agent-based modeling approach is now used in many domains such as geography, ecology, or economy, and more generally to study (spatially explicit) socio-environmental systems where the heterogeneity of the actors and the numerous feedback loops between them requires a modular and incremental approach to modeling. One major reason of this success, besides this conceptual facility, can be found in the support provided by the development of increasingly powerful software platforms, which now allow modelers without a strong background in computer science to easily and quickly develop their own models. Another trend observed in the latest years is the development of much more descriptive and detailed models able not only to better represent complex systems, but also answer more intricate questions. In that respect, if all agent-based modeling platforms support the design of small to mid-size models, i.e. models with little heterogeneity between agents, simple representation of the environment, simple agent decision-making processes, etc., very few are adapted to the design of large-scale models. GAMA is one of the latter. It has been designed with the aim of supporting the writing (and composing) of fairly complex models, with a strong support of the spatial dimension, while guaranteeing non-computer scientists an easy access to high-level, otherwise complex, operations. This paper presents GAMA 1.8, the latest revision to date of the platform, with a focus on its modeling language and its capabilities to manage the spatial dimension of models. The capabilities of GAMA are illustrated by the presentation of applications that take advantage of its new features.",APR,2019,23,2,10.1007/s10707-018-00339-6,http://dx.doi.org/10.1007/s10707-018-00339-6
"Arsanjani, Jamal Jokar; Helbich, Marco; Vaz, Eric De Noronha",Spatiotemporal simulation of urban growth patterns using agent-based modeling: The case of Tehran,CITIES,"Rapid urban growth is becoming a serious problem in most developing countries. Tehran, the capital of Iran, stands out as a vibrant metropolitan area, facing uncontrolled urban expansion. Public authorities and decision makers require planning criteria regarding possible spatial developments. To monitor past developmental trends and to simulate emerging spatiotemporal patterns of urban growth, this research applies a geosimulation approach that couples agent-based modeling with multicriteria analysis (MCA) for the period between 1986 and 2006. To model the major determinants controlling urban development, three agent groups are defined, namely developer agents, government agents, and resident agents. The behaviors of each agent group are identified by qualitative surveys and are considered separately using multi-criteria analysis. The interactions of the agents are then combined through overlay functions within a Geographic Information System (GIS). This analysis results in the creation of a propensity surface of growth that is able to identify the most probable sites for urban development. Subsequently, a Markov Chain Model (MCM) and a concise statistical extrapolation are used to determine the amount of probable future expansion in Tehran. For validation purposes, the model is estimated using 2011 data and then validated based on actual urban expansion. Given the accurate predictions of the Markov Chain Model, further predictions were carried out for 2016 and 2026. This simulation provides strong evidence that during the next decade planning authorities will have to cope with continuous as well as heterogeneously distributed urban growth. Both the monitoring of growth and simulation revealed significant developments in the northwestern part of Tehran, continuing toward the south along the interchange networks. Crown Copyright (c) 2013 Published by Elsevier Ltd. All rights reserved.",JUN,2013,32,,10.1016/j.cities.2013.01.005,http://dx.doi.org/10.1016/j.cities.2013.01.005
"Yin, Weihao; Murray-Tuite, Pamela; Ukkusuri, Satish V.; Gladwin, Hugh",An agent-based modeling system for travel demand simulation for hurricane evacuation,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,"This paper presents an agent-based travel demand model system for hurricane evacuation simulation, which is capable of generating comprehensive household activity-travel plans. The system implements econometric and statistical models that represent travel and decision-making behavior throughout the evacuation process. The system considers six typical evacuation decisions: evacuate/stay, accommodation type choice, evacuation destination choice, mode choice, vehicle usage choice, and departure time choice. It explicitly captures the shadow evacuation population. In addition, the model system captures pre-evacuation preparation activities using an activity-based approach. A demonstration study that predicts activity-travel patterns using model parameters estimated for the Miami-Dade area for a hypothetical category-4 hurricane is discussed. The simulation results clearly indicate the model system produces a distribution of choice patterns that is consistent with sample observations and existing literature. The model system also identifies the proportion of the shadow evacuation population and their geographical extent. About 23% of the population outside the designated evacuation zone would evacuate. The shadow evacuation demand is mainly located within 5 km of the coastline. The output demand of the model system works with agent-based traffic simulation tools and conventional trip-based simulation tools. (C) 2014 Elsevier Ltd. All rights reserved.",MAY,2014,42,,10.1016/j.trc.2014.02.015,http://dx.doi.org/10.1016/j.trc.2014.02.015
"Grefenstette, John J.; Brown, Shawn T.; Rosenfeld, Roni; DePasse, Jay; Stone, Nathan T. B.; Cooley, Phillip C.; Wheaton, William D.; Fyshe, Alona; Galloway, David D.; Sriram, Anuroop; Guclu, Hasan; Abraham, Thomas; Burke, Donald S.",FRED (A Framework for Reconstructing Epidemic Dynamics): an open-source software system for modeling infectious diseases and control strategies using census-based populations,BMC PUBLIC HEALTH,"Background: Mathematical and computational models provide valuable tools that help public health planners to evaluate competing health interventions, especially for novel circumstances that cannot be examined through observational or controlled studies, such as pandemic influenza. The spread of diseases like influenza depends on the mixing patterns within the population, and these mixing patterns depend in part on local factors including the spatial distribution and age structure of the population, the distribution of size and composition of households, employment status and commuting patterns of adults, and the size and age structure of schools. Finally, public health planners must take into account the health behavior patterns of the population, patterns that often vary according to socioeconomic factors such as race, household income, and education levels. Results: FRED (a Framework for Reconstructing Epidemic Dynamics) is a freely available open-source agent-based modeling system based closely on models used in previously published studies of pandemic influenza. This version of FRED uses open-access census-based synthetic populations that capture the demographic and geographic heterogeneities of the population, including realistic household, school, and workplace social networks. FRED epidemic models are currently available for every state and county in the United States, and for selected international locations. Conclusions: State and county public health planners can use FRED to explore the effects of possible influenza epidemics in specific geographic regions of interest and to help evaluate the effect of interventions such as vaccination programs and school closure policies. FRED is available under a free open source license in order to contribute to the development of better modeling tools and to encourage open discussion of modeling tools being used to evaluate public health policies. We also welcome participation by other researchers in the further development of FRED.",8-Oct,2013,13,,10.1186/1471-2458-13-940,http://dx.doi.org/10.1186/1471-2458-13-940
"Castella, Jean-Christophe; Verburg, Peter H.",Combination of process-oriented and pattern-oriented models of land-use change in a mountain area of Vietnam,ECOLOGICAL MODELLING,"The tools and methods developed by different scientific communities to simulate the dynamics of land use have emphasised either processes or patterns of changes. Agent-based models (ABM) belong to the former category while many spatially explicit simulation models belong to the latter. These two different modelling approaches were jointly implemented at a study site in Vietnam to assess their respective strengths and weaknesses with respect to their capacity to support the formulation of land-use policy and to influence decision making by multiple groups of stakeholders. SAMBA is a people-centred approach combining an ABM, a role-playing game and a geographic information system. Participatory simulations help elicit the rules of the ABM and calibrate the model, while the model supports the participatory exploration of land-use change scenarios over longer time periods. CLUE-s is a spatial simulation model which explores changes in land-use patterns within user-specified rules of permissible change and rates of change. Driving factors that influence changes from one land-use type to another are defined by combining spatially explicit data on land use and supposed driving factors in a logistical regression analysis. Alternatively, the decision rules that were revealed during the participatory simulations - with the role plays and the multi-agent modelling of the SAMBA approach - were incorporated in the CLUE-s model to provide more realistic estimates for the varying influence of land-use drivers. We checked the respective validity of the two models by applying them at the same site and comparing their outputs. As a result, no single approach was obviously superior according to the validation statistics. The three approaches turned out to be complementary in simulating land-use patterns, while providing different types of information. Integration of the two models into a rule-based version of CLUE-s helped reconciling data-driven statistical models and process-driven agent-based models in LUCC research. This new model reinforced the overall framework by facilitating the partnership between researchers from different scientific communities and between researchers and multiple groups of stakeholders. it may also better respond to the expectations of land users at different levels of the decision-making hierarchy. (c) 2006 Elsevier B.V. All rights reserved.",10-Apr,2007,202,3月4日,10.1016/j.ecolmodel.2006.11.011,http://dx.doi.org/10.1016/j.ecolmodel.2006.11.011
"O'Sullivan, D; Haklay, M",Agent-based models and individualism: is the world agent-based?,ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,"Agent-based models (ABMs) are an increasingly popular tool in the social sciences. This trend seems likely to continue, so that they will become widely used in geography and in urban and regional planning. We present an overview of examples of these models in the life sciences, economics, planning, sociology, and archaeology. We conclude that ABMs strongly tend towards an individualist view of the social world. This point is reinforced by closer consideration of particular examples. This discussion pays attention to the inadequacy of an individualist model of society with reference to debates in social theory. We argue that because models are closed representations of an open world it is important that institutions and other social structures be explicitly included, or that their omission be explained. A tentative explanation for the bias of ABMs is offered, based on an examination of early research in artificial intelligence and distributed artificial intelligence from which disciplines the approach is derived. Some implications of these findings are discussed. We indicate some useful research directions which are beginning to tackle the individualism issue directly. We further note that the underlying assumptions of ABMs are often hidden in the implementation details. We conclude that such models must be subject to critical examination of their assumptions, and that model builders should engage with social theory if the approach is to realise its full potential.",AUG,2000,32,8,10.1068/a32140,http://dx.doi.org/10.1068/a32140
"Groff, Elizabeth R.",Simulation for theory testing and experimentation: An example using routine activity theory and street robbery,JOURNAL OF QUANTITATIVE CRIMINOLOGY,"Achieving a better understanding of the crime event in its spatio-temporal context is an important research area in criminology with major implications for improving policy and developing effective crime prevention strategies. However, significant barriers related to data and methods exist for conducting this type of research. The research requires micro-level data about individual behavior that is difficult to obtain and methods capable of modeling the dynamic, spatio-temporal interaction of offenders, victims, and potential guardians at the micro level. This paper presents simulation modeling as a method for addressing these challenges. Specifically, agent-based modeling, when integrated with geographic information systems, offers the ability to model individual behavior within a real environment. The method is demonstrated by operationalizing and testing routine activity theory as it applies to the crime of street robbery. Model results indicate strong support for the basic premise of routine activity theory; as time spent away from home increases, crime will increase. The strength of the method is in providing a research platform for translating theory into models that can be discussed, shared, tested and enhanced with the goal of building scientific knowledge.",JUN,2007,23,2,10.1007/s10940-006-9021-z,http://dx.doi.org/10.1007/s10940-006-9021-z
"Pontius, Robert Gilmore, Jr.; Peethambaram, Smitha; Castella, Jean-Christophe","Comparison of Three Maps at Multiple Resolutions: A Case Study of Land Change Simulation in Cho Don District, Vietnam",ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,"Geographic modelers frequently compare maps of observed land transitions to maps of simulated land transitions to relate the patterns in reference maps to the output from a simulation model. Pixel-by-pixel analysis of raster maps at a single resolution is useful for this task at a single scale, but scientists often need to consider additional scales. This article presents methods to satisfy this need by proposing a multiple-resolution method to compare land categories in three maps: a reference map of time 1, a reference map of time 2, and a simulation map of time 2. The method generates a three-dimensional table that gives the percentage of the study area for each combination of categories at the maps' native resolution and at several nested sets of coarser squares. The method differentiates allocation disagreement within coarse squares, allocation disagreement among coarse squares, quantity disagreement, and agreement. We illustrate the method with output from a run of the SAMBA agent-based model from 1990 to 2001 using 32-m resolution pixels for Cho Don District, Vietnam. Results show that half of the overall disagreement is attributable to allocation disagreement within squares that are 506 m x 506 m, which is about the average size of a village. Much of the remaining disagreement is misallocation of forest and shrub between the northern and southern parts of the district, which is caused by differences between the data and the simulation concerning transitions from the crop and shrub categories.",,2011,101,1,10.1080/00045608.2010.517742,http://dx.doi.org/10.1080/00045608.2010.517742
